// Name: Cubehelix default
// Author: Dave Green
// Homepage: https://www.mrao.cam.ac.uk/~dag/CUBEHELIX/

0.821,0.930,0.936
0.826,0.933,0.936
0.832,0.937,0.936
0.838,0.941,0.936
0.844,0.944,0.936
0.850,0.948,0.936
0.857,0.951,0.937
0.864,0.954,0.938
0.870,0.957,0.938
0.877,0.960,0.940
0.884,0.963,0.941
0.891,0.966,0.943
0.898,0.969,0.945
0.906,0.971,0.947
0.913,0.974,0.949
0.920,0.976,0.952
0.928,0.978,0.955
0.935,0.981,0.958
0.943,0.983,0.962
0.950,0.985,0.966
0.957,0.987,0.970
0.965,0.990,0.974
0.972,0.992,0.979
0.979,0.994,0.984
0.986,0.996,0.989
0.993,0.998,0.994
1.000,1.000,1.000
