// Name: Cubehelix 0.5, -1, 1 
// Author: Dave Green
// Homepage: https://www.mrao.cam.ac.uk/~dag/CUBEHELIX/, http://www.ifweassume.com/2013/05/cubehelix-or-how-i-learned-to-love.html

0.974,0.839,0.860
0.976,0.844,0.867
0.977,0.848,0.873
0.979,0.853,0.880
0.980,0.858,0.887
0.981,0.863,0.893
0.982,0.868,0.900
0.983,0.873,0.906
0.984,0.878,0.912
0.985,0.883,0.918
0.986,0.888,0.923
0.987,0.893,0.929
0.987,0.899,0.934
0.988,0.904,0.939
0.989,0.909,0.944
0.989,0.915,0.949
0.990,0.920,0.954
0.991,0.926,0.958
0.991,0.931,0.963
0.992,0.937,0.967
0.992,0.943,0.971
0.993,0.948,0.975
0.994,0.954,0.978
0.994,0.960,0.982
0.995,0.965,0.985
0.996,0.971,0.988
0.996,0.977,0.991
0.997,0.983,0.993
0.998,0.988,0.996
0.999,0.994,0.998
1.000,1.000,1.000
